id,name,username
14687587,VamPus,vampus
16432083,Erna Solberg,erna_solberg
18293645,Kjell Ingolf Ropstad,kjellingolf
18387289,Kari Elisabeth Kaski,kariekas
19119226,Masud Gharahkhani,MasudGh
19157451,Sveinung Stensland,sveinungen
19284826,Per Vidar Kjølmoen,kjolmoen
19764533,Sveinung Rotevatn,Rotevatn
20301193,AnetteTrettebergst.,Trettebergstuen
20611702,Mímir Kristjánsson,mimirk
20679622,Ola Elvestuen,olaelvestuen
20868447,Abid Raja,abidraja
21035347,Marie Sneve,mariesneve
21423985,Guri Melby,gurimelby
21746816,Åsmund Aukrust,AsmundAukrust
22415635,Hadia Tajik,HadiaTajik
23320712,Lene Vågslid,Lenev
24143353,Eva Kristin,evakristin
24531620,Jon-Ivar Nygård,joinnyg
26214264,Tina Bru,HoyreTina
26470805,Marte Mjøs Persen,MarteMP
26588415,Rigmor Aasrud,rigmorap
26708613,Cecilie Myrseth,CecilieMyrseth
26719515,Terje Aasland,terjeaa
26837025,Kari Henriksen,karhenr
27317182,Linda H. Helleland,Lindacath
28361716,Lan Marie N. Berg,Lan_Marie
28952277,Bård Hoksrud,hoksrud
29928571,Geir Pollestad,geirpo
30759351,Erlend Wiborg,erlendwiborg
30941476,M Tybring-Gjedde,MathildeTG
31343887,Ole André Myhrvold,OleAnd
32397331,Eigil Knutsen,EigilKnutsen
32535843,Tage Pettersen,tagep
34656014,Lene Westgaard-Halle,LeneWestgaard
34703909,Sandra Borch,SandraNBorch
34941106,Audun Lysbakken,audunlysbakken
36435082,Lise Selnes,LiseSelnes
37665779,Henrik Asheim,Henrikasheim
37677256,Kamzy Gunaratnam,KamzyGunaratnam
38260259,Lars Haltbrekken,Haltbrekken
38769939,Himanshu,himanshugulati
39091525,Erling Sande,ErlingSande
39974570,Kjersti Toppe,KToppe
40516095,Morten,mortenwold
41090452,Anna Molberg,annamolberg
41352926,Geir Adelsten,GeirIversen
42042554,Helge Andre Njåstad,FrP_HelgeAndre
42845459,Grunde Almeland,GrundeA
45565446,Nikolai Astrup,nikolaiastrup
58733138,Jorodd Asphjell,jorodd
63129578,Jonas Gahr Støre,jonasgahrstore
63425851,Alfred Jens,alfredbjorlo
81154009,Øystein Mathisen,OysteinMathisen
86154361,Bjørnar Moxnes,bmoxnes
101727020,Mudassar Kapur,mudassarkapur
107140486,Rune Støstad,runestostad
112871323,Sivert Bjørnstad,sbjoernstad
149410514,Kirsti,kirstilei
169274601,Even A.,evenaroed
195848365,Per-Willy Amundsen,PWAmundsen_FrP
204525639,Mari Holm Lønseth,MariLonseth
217217458,Ingvild Kjerkol,ingvildkjerkol
218910852,Carl Ivar Hagen,carlihagen
221451051,Linda M Merkesdal,MonsenMerkesdal
221822662,Jan Tore Sanner,jantoresanner
225341716,Ove Trellevik,ovetrellevik
234132789,Sofie Marhaug,SofieMarhaug
244983461,Seher Aydar,SeherAydar
262164620,Terje Halleland,TerjeHalleland
273638217,Tellef Inge Mørland,tellefinge
279131939,Anniken Huitfeldt,AHuitfeldt
295361148,Marian Hussein,Hawatako
310626575,Bård Ludvig Thorheim,BardThorheim
317034318,Mani Hussaini,ManiHussaini
319228928,Peter Frølich,pcfrolich
323412972,Per Olav Tyldum,PTyldum
333903537,Roy Steffensen   roysteffensen,
338369157,Freddy André,Fredoev
361852315,Lisa Marie Ness Klungland,lisamnkl
369395471,Lise Christoffersen,LiseChristoffer
419788091,Aleksander Stokkebø,Stokkebo
471837649,Nils K. Sandtrøen,NilsKristen
473914976,Espen Barth Eide,EspenBarthEide
514596967,Christian,ChristianTG_FRP
524326247,Marit Knutsdatter Strand,PerleStrand
552236475,Mona Nilsen,NilsenMona
600758713,Torbjørn Vereide,T_vereide
819168234,Helge Orten,helgeorten
887106534,Kari-Anne Jønnes,KariAnneJnnes
899800400,Nils T Bjørke,NilsTBjorke
951333086,Rasmus JM Hansson,rasmusjmh
1103749050,Kathrine Kleveland,kathklev
1269692077,Andre N Skjelstad,AndreNSkjelstad
1382743280,Tone Wilhelmsen,tonewtroen
1551459979,Dag-Inge,dagiulstein
1640414335,Ingunn Foss,IngunnFoss
1728936764,Geir Jørgensen,geir_jorgensen
2228363243,Sverre Myrli,SverreMyrli
2428650736,Elise waagen,waagen_elise
2537682190,Sigbjørn Gjelsvik,SGjelsvik
2605255273,Ingrid Fiskaa,ingridfiskaa
2645220702,Hårek Elvenes,HarekElvenes
2924816561,Olaug Vervik,OBollestad
3119889670,Siv Mossleth,SMossleth
3154670134,Olve Grotle,OlveGrotle
3173897338,Hege Bae Nyholt ,bae_hege
4205180009,Mahmoud Farahmand,Farahmand79
4918859500,Odd Harald Hovland,Hovland_OddH
806245817082331136,Geir Inge Lien,GilieInge
811340054085992448,Else Marie Rødby,dethunsa
838111239750447104,Bjørnar Skjæran,bjoskj
907517876973834241,Ingvild Wetrhus Thorsvik,ingvild_wetrhus
963484827130441728,Grete Wold,WoldGrete
1033374143461425152,Mona Fagerås,monapatinget
1039464996575608833,Erlend Svardal Bøe,ErlendSBoe
1144998245745270784,Sylvi Listhaug,DonaldT52183188
1169496036097875968,Bengt Rune Strifeldt,askepott55101
1250443298751295488,Trine Lise Sundnes,aptrinelise
1325364366615646213,Frank Edvard,SveFrank
1325404675554897921,Marit Arnstad,MaritArnstad
1325878475207610368,Åslaug Sem-Jacobsen,AslaugSJacobsen
1352156535510728709,Terje Sørvik,TerjeSorvik
1410173753590534144,Liv Kari Eskeland,EskelandLiv
1427356608565293057,Margret,N00binnen
1443863355123552273,Ingjerd Schou,schou_ingjerd
1448974347536932864,Andreas Sjalg Unneland,AUnneland
1450014429660205056,Emilie Mehl,EmilieMehl
1454512707131084803,Anja Ninasdotter Abusland,anja_N_abusland
1483466822947069954,Birgit Oline Kjerstad,birgit_oline